product_id,impact_category,unit,total
Herbicide,Climate change - Biogenic,Pt,0
Herbicide,Climate change - Land use and LU change,Pt,0
Herbicide,"Human toxicity, non-cancer - organics",Pt,0
Herbicide,"Human toxicity, non-cancer - inorganics",Pt,0
Herbicide,"Human toxicity, non-cancer - metals",Pt,0
Herbicide,"Human toxicity, cancer - organics",Pt,0
Herbicide,"Human toxicity, cancer - inorganics",Pt,0
Herbicide,"Human toxicity, cancer - metals",Pt,0
Herbicide,"Ecotoxicity, freshwater - organics",Pt,0
Herbicide,"Ecotoxicity, freshwater - inorganics",Pt,0
Herbicide,"Ecotoxicity, freshwater - metals",Pt,0
Insecticide,Total,Pt,540489472.3400254
Insecticide,Climate change,Pt,18147.4914
Insecticide,Ozone depletion,Pt,1.4799999999999999e-9
Insecticide,Ionising radiation,Pt,711.710174
Insecticide,Photochemical ozone formation,Pt,0.038507059999999996
Insecticide,Particulate matter,Pt,1.54963e-11
Insecticide,"Human toxicity, non-cancer",Pt,1.5654213999999998e-9
Insecticide,"Human toxicity, cancer",Pt,4.6166e-15
Insecticide,Acidification,Pt,0.14868711999999998
Insecticide,"Eutrophication, freshwater",Pt,0.000118759
Insecticide,"Eutrophication, marine",Pt,0.009537278
Insecticide,"Eutrophication, terrestrial",Pt,0.50045004
Insecticide,"Ecotoxicity, freshwater",Pt,529018443.3026
Insecticide,Land use,Pt,10419696.54
Insecticide,Water use,Pt,1631.081551
Insecticide,"Resource use, fossils",Pt,1030841.5170000001
Insecticide,"Resource use, minerals and metals",Pt,2.5343999999999997e-7
Insecticide,Climate change - Fossil,Pt,0
Insecticide,Climate change - Biogenic,Pt,0
Insecticide,Climate change - Land use and LU change,Pt,0
Insecticide,"Human toxicity, non-cancer - organics",Pt,0
Insecticide,"Human toxicity, non-cancer - inorganics",Pt,0
Insecticide,"Human toxicity, non-cancer - metals",Pt,0
Insecticide,"Human toxicity, cancer - organics",Pt,0
Insecticide,"Human toxicity, cancer - inorganics",Pt,0
Insecticide,"Human toxicity, cancer - metals",Pt,0
Insecticide,"Ecotoxicity, freshwater - organics",Pt,0
Insecticide,"Ecotoxicity, freshwater - inorganics",Pt,0
Insecticide,"Ecotoxicity, freshwater - metals",Pt,0
Fungicide,Total,Pt,14456166.866849951
Fungicide,Climate change,Pt,16691.588519999998
Fungicide,Ozone depletion,Pt,1.40008e-9
Fungicide,Ionising radiation,Pt,620.0116840000001
Fungicide,Photochemical ozone formation,Pt,0.03470854
Fungicide,Particulate matter,Pt,1.44032e-11
Fungicide,"Human toxicity, non-cancer",Pt,3.766066e-12
Fungicide,"Human toxicity, cancer",Pt,5.9696e-15
Fungicide,Acidification,Pt,0.13245375999999998
Fungicide,"Eutrophication, freshwater",Pt,0.000103618
Fungicide,"Eutrophication, marine",Pt,0.008716038
Fungicide,"Eutrophication, terrestrial",Pt,0.45373077
Fungicide,"Ecotoxicity, freshwater",Pt,3825051.6733000004
Fungicide,Land use,Pt,9671351.19
Fungicide,Water use,Pt,1440.918633
Fungicide,"Resource use, fossils",Pt,941010.855
Fungicide,"Resource use, minerals and metals",Pt,2.208e-7
Fungicide,Climate change - Fossil,Pt,0
Fungicide,Climate change - Biogenic,Pt,0
Fungicide,Climate change - Land use and LU change,Pt,0
Fungicide,"Human toxicity, non-cancer - organics",Pt,0
Fungicide,"Human toxicity, non-cancer - inorganics",Pt,0
Fungicide,"Human toxicity, non-cancer - metals",Pt,0
Fungicide,"Human toxicity, cancer - organics",Pt,0
Fungicide,"Human toxicity, cancer - inorganics",Pt,0
Fungicide,"Human toxicity, cancer - metals",Pt,0
Fungicide,"Ecotoxicity, freshwater - organics",Pt,0
Fungicide,"Ecotoxicity, freshwater - inorganics",Pt,0
Fungicide,"Ecotoxicity, freshwater - metals",Pt,0
